sku,category,reviews_count,,sku,category,average_rating,,,
H12197,Clothing,66,,H12197,Clothing,4.7,,,
GZ2915,Shoes,3812,,GZ2915,Shoes,4.7,,,
H39799,Clothing,44,,H39799,Clothing,4.7,,,
GL0649,Clothing,35,,GL0649,Clothing,4.7,,,
GQ1095,Clothing,201,,GQ1095,Clothing,4.7,,,
GL3961,Clothing,134,,GL3961,Clothing,3.9,,,
H39784,Clothing,67,,H39784,Clothing,4.6,,,
GN8269,Clothing,236,,GN8269,Clothing,4.5,,,
H40972,Clothing,6,,H40972,Clothing,5,,,
GU0325,Clothing,201,,GU0325,Clothing,4.7,,,
H39751,Clothing,78,,H39751,Clothing,4.6,,,
HA7682,Clothing,78,,HA7682,Clothing,4.6,,,
H39778,Clothing,66,,H39778,Clothing,4.8,,,
H33318,Clothing,51,,H33318,Clothing,4.8,,,
H39752,Clothing,78,,H39752,Clothing,4.6,,,
H39796,Clothing,44,,H39796,Clothing,4.7,,,
GR4086,Clothing,66,,GR4086,Clothing,4.8,,,
H33317,Clothing,51,,H33317,Clothing,4.8,,,
GZ2916,Shoes,3812,,GZ2916,Shoes,4.7,,,
H39779,Clothing,54,,H39779,Clothing,4.7,,,
GR4097,Clothing,30,,GR4097,Clothing,4.9,,,
H39793,Clothing,67,,H39793,Clothing,4.6,,,
GU0324,Clothing,201,,GU0324,Clothing,4.7,,,
GR4106,Clothing,67,,GR4106,Clothing,4.6,,,
GV9739,Shoes,3812,,GV9739,Shoes,4.7,,,
GZ2914,Shoes,3812,,GZ2914,Shoes,4.7,,,
H39790,Clothing,30,,H39790,Clothing,4.9,,,
H39749,Clothing,78,,H39749,Clothing,4.6,,,
H06605,Shoes,29,,H06605,Shoes,4.8,,,
GU8969,Clothing,67,,GU8969,Clothing,4.6,,,
H39781,Clothing,66,,H39781,Clothing,4.8,,,
H02815,Shoes,385,,H02815,Shoes,4.5,,,
H04641,Shoes,44,,H04641,Shoes,4.4,,,
GZ8185,Shoes,377,,GZ8185,Shoes,4.6,,,
GZ8184,Shoes,377,,GZ8184,Shoes,4.6,,,
FX6530,Shoes,80,,FX6530,Shoes,4.8,,,
H04756,Shoes,594,,H04756,Shoes,4.4,,,
H04642,Shoes,44,,H04642,Shoes,4.4,,,
H00948,Shoes,594,,H00948,Shoes,4.4,,,
Q46111,Shoes,44,,Q46111,Shoes,4.4,,,
H00945,Shoes,594,,H00945,Shoes,4.4,,,
GY5100,Shoes,77,,GY5100,Shoes,4.2,,,
H00465,Shoes,72,,H00465,Shoes,4.5,,,
GX3667,Shoes,344,,GX3667,Shoes,4.7,,,
H00569,Shoes,207,,H00569,Shoes,4.4,,,
GV7307,Shoes,594,,GV7307,Shoes,4.4,,,
GV7757,Shoes,207,,GV7757,Shoes,4.4,,,
GX3631,Shoes,344,,GX3631,Shoes,4.7,,,
GY5099,Shoes,77,,GY5099,Shoes,4.2,,,
H00141,Shoes,207,,H00141,Shoes,4.4,,,
GW7536,Shoes,207,,GW7536,Shoes,4.4,,,
FX5923,Shoes,207,,FX5923,Shoes,4.4,,,
H04248,Shoes,344,,H04248,Shoes,4.7,,,
GZ7745,Shoes,183,,GZ7745,Shoes,4.7,,,
GZ7734,Shoes,183,,GZ7734,Shoes,4.7,,,
HA3053,Clothing,27,,HA3053,Clothing,4.3,,,
GY8283,Shoes,183,,GY8283,Shoes,4.7,,,
S97358,Clothing,53,,S97358,Clothing,4.8,,,
HE9397,Clothing,25,,HE9397,Clothing,4.7,,,
GX8386,Shoes,55,,GX8386,Shoes,4.3,,,
HF4154,Clothing,25,,HF4154,Clothing,4.7,,,
H00142,Shoes,207,,H00142,Shoes,4.4,,,
GX8387,Shoes,55,,GX8387,Shoes,4.3,,,
GZ7733,Shoes,183,,GZ7733,Shoes,4.7,,,
H45371,Clothing,32,,H45371,Clothing,4.2,,,
H47892,Clothing,8,,H47892,Clothing,4.6,,,
HA5836,Clothing,19,,HA5836,Clothing,4.9,,,
H00541,Shoes,152,,H00541,Shoes,4.4,,,
HA3052,Clothing,27,,HA3052,Clothing,4.3,,,
GW8086,Shoes,152,,GW8086,Shoes,4.4,,,
H45369,Clothing,32,,H45369,Clothing,4.2,,,
H44967,Clothing,5,,H44967,Clothing,4.6,,,
H00538,Shoes,152,,H00538,Shoes,4.4,,,
HA2442,Clothing,42,,HA2442,Clothing,4.8,,,
HA3054,Clothing,27,,HA3054,Clothing,4.3,,,
H32387,Accessories,76,,H32387,Accessories,4.7,,,
GN4894,Accessories,76,,GN4894,Accessories,4.7,,,
GS3917,Clothing,29,,GS3917,Clothing,4.5,,,
H00474,Shoes,608,,H00474,Shoes,4.6,,,
H20475,Clothing,47,,H20475,Clothing,4.8,,,
GU0890,Accessories,1,,GU0890,Accessories,5,,,
H20233,Clothing,5,,H20233,Clothing,4.2,,,
H28797,Clothing,89,,H28797,Clothing,4.8,,,
GZ2668,Shoes,580,,GZ2668,Shoes,4.8,,,
FY2858,Shoes,275,,FY2858,Shoes,4.5,,,
FY0623,Shoes,214,,FY0623,Shoes,4.5,,,
H37831,Clothing,14,,H37831,Clothing,4.6,,,
H09044,Accessories,29,,H09044,Accessories,4.6,,,
GR9652,Clothing,20,,GR9652,Clothing,3.7,,,
H13478,Clothing,35,,H13478,Clothing,4.9,,,
H26649,Clothing,6,,H26649,Clothing,5,,,
Q46321,Shoes,454,,Q46321,Shoes,4.4,,,
FY1039,Shoes,117,,FY1039,Shoes,4.7,,,
Q46322,Shoes,454,,Q46322,Shoes,4.4,,,
S42716,Shoes,275,,S42716,Shoes,4.5,,,
GW4842,Shoes,454,,GW4842,Shoes,4.4,,,
GW4843,Shoes,454,,GW4843,Shoes,4.4,,,
