sku,category,reviews_count,,sku,category,average_rating,,,
H01851,Shoes,251,,H01851,Shoes,4.1,,,
H01847,Shoes,251,,H01847,Shoes,4.1,,,
GW8622,Shoes,515,,GW8622,Shoes,3.9,,,
H04494,Shoes,350,,H04494,Shoes,4.2,,,
GZ5243,Shoes,18,,GZ5243,Shoes,4.9,,,
H01846,Shoes,251,,H01846,Shoes,4.1,,,
H01782,Shoes,512,,H01782,Shoes,4.6,,,
GV7760,Shoes,684,,GV7760,Shoes,4.7,,,
H68718,Shoes,515,,H68718,Shoes,3.9,,,
G58090,Shoes,684,,G58090,Shoes,4.7,,,
FZ4689,Shoes,512,,FZ4689,Shoes,4.6,,,
G58089,Shoes,684,,G58089,Shoes,4.7,,,
FY1103,Shoes,251,,FY1103,Shoes,4.1,,,
GX6118,Shoes,77,,GX6118,Shoes,4.2,,,
FY0375,Shoes,3900,,FY0375,Shoes,4.6,,,
H05250,Shoes,1866,,H05250,Shoes,4.8,,,
H04318,Shoes,562,,H04318,Shoes,4.5,,,
GZ9172,Shoes,77,,GZ9172,Shoes,4.2,,,
FY1102,Shoes,251,,FY1102,Shoes,4.1,,,
G55780,Shoes,251,,G55780,Shoes,4.1,,,
H04319,Shoes,562,,H04319,Shoes,4.5,,,
H04519,Shoes,540,,H04519,Shoes,4.7,,,
GZ9045,Shoes,1254,,GZ9045,Shoes,4.6,,,
GZ9079,Shoes,515,,GZ9079,Shoes,3.9,,,
GV7671,Shoes,1866,,GV7671,Shoes,4.8,,,
H04306,Shoes,1254,,H04306,Shoes,4.6,,,
FY7717,Shoes,1866,,FY7717,Shoes,4.8,,,
GV7672,Shoes,1866,,GV7672,Shoes,4.8,,,
H03071,Shoes,1254,,H03071,Shoes,4.6,,,
H04305,Shoes,1254,,H04305,Shoes,4.6,,,
FX5570,Shoes,1866,,FX5570,Shoes,4.8,,,
GY5793,Shoes,1866,,GY5793,Shoes,4.8,,,
GZ3704,Shoes,1866,,GZ3704,Shoes,4.8,,,
H04331,Shoes,562,,H04331,Shoes,4.5,,,
H02700,Shoes,470,,H02700,Shoes,4.8,,,
FY0377,Shoes,3900,,FY0377,Shoes,4.6,,,
FY9623,Shoes,540,,FY9623,Shoes,4.7,,,
FY5438,Shoes,1254,,FY5438,Shoes,4.6,,,
H00547,Shoes,452,,H00547,Shoes,4.2,,,
H05645,Shoes,1866,,H05645,Shoes,4.8,,,
GX2537,Shoes,1866,,GX2537,Shoes,4.8,,,
FY0374,Shoes,3900,,FY0374,Shoes,4.6,,,
H05791,Shoes,452,,H05791,Shoes,4.2,,,
GZ5314,Shoes,2005,,GZ5314,Shoes,4.6,,,
GZ7435,Shoes,451,,GZ7435,Shoes,4.6,,,
G58105,Shoes,375,,G58105,Shoes,4.6,,,
H00128,Shoes,1866,,H00128,Shoes,4.8,,,
H00602,Shoes,452,,H00602,Shoes,4.2,,,
GZ7416,Shoes,427,,GZ7416,Shoes,4.6,,,
FY9496,Shoes,427,,FY9496,Shoes,4.6,,,
H00561,Shoes,452,,H00561,Shoes,4.2,,,
FZ3281,Shoes,88,,FZ3281,Shoes,4.3,,,
G58098,Shoes,1518,,G58098,Shoes,4.7,,,
H00548,Shoes,452,,H00548,Shoes,4.2,,,
H03263,Shoes,595,,H03263,Shoes,4.4,,,
GZ7998,Shoes,1702,,GZ7998,Shoes,4.5,,,
GZ7417,Shoes,427,,GZ7417,Shoes,4.6,,,
H04105,Shoes,104,,H04105,Shoes,4.7,,,
GV7369,Shoes,452,,GV7369,Shoes,4.2,,,
FY8315,Shoes,452,,FY8315,Shoes,4.2,,,
H04567,Shoes,94,,H04567,Shoes,4.5,,,
GY7536,Shoes,24,,GY7536,Shoes,4.7,,,
H04563,Shoes,94,,H04563,Shoes,4.5,,,
GZ7418,Shoes,427,,GZ7418,Shoes,4.6,,,
FY5961,Shoes,274,,FY5961,Shoes,4.6,,,
H04537,Shoes,1518,,H04537,Shoes,4.7,,,
H02028,Shoes,38,,H02028,Shoes,4.2,,,
GY7535,Shoes,24,,GY7535,Shoes,4.7,,,
Q46282,Shoes,319,,Q46282,Shoes,4.2,,,
H04540,Shoes,1518,,H04540,Shoes,4.7,,,
S42589,Shoes,37,,S42589,Shoes,4.6,,,
Q46281,Shoes,319,,Q46281,Shoes,4.2,,,
H02027,Shoes,38,,H02027,Shoes,4.2,,,
H02557,Shoes,595,,H02557,Shoes,4.4,,,
H04216,Shoes,318,,H04216,Shoes,4.6,,,
GZ8172,Shoes,595,,GZ8172,Shoes,4.4,,,
FZ1927,Shoes,207,,FZ1927,Shoes,4.5,,,
GZ5346,Shoes,319,,GZ5346,Shoes,4.2,,,
GY2745,Shoes,104,,GY2745,Shoes,4.7,,,
G58068,Shoes,94,,G58068,Shoes,4.5,,,
H05263,Shoes,584,,H05263,Shoes,4.8,,,
H05765,Shoes,377,,H05765,Shoes,4.6,,,
H05264,Shoes,584,,H05264,Shoes,4.8,,,
GX0538,Shoes,223,,GX0538,Shoes,4.5,,,
GZ8193,Shoes,377,,GZ8193,Shoes,4.6,,,
GX0544,Shoes,223,,GX0544,Shoes,4.5,,,
H04566,Shoes,94,,H04566,Shoes,4.5,,,
H04565,Shoes,94,,H04565,Shoes,4.5,,,
H04226,Shoes,318,,H04226,Shoes,4.6,,,
H02025,Shoes,38,,H02025,Shoes,4.2,,,
FY2637,Shoes,80,,FY2637,Shoes,4.8,,,
GY5062,Shoes,80,,GY5062,Shoes,4.8,,,
H00651,Shoes,78,,H00651,Shoes,4.8,,,
H04808,Shoes,395,,H04808,Shoes,4.6,,,
FY2638,Shoes,80,,FY2638,Shoes,4.8,,,
GZ8194,Shoes,377,,GZ8194,Shoes,4.6,,,
G58171,Shoes,79,,G58171,Shoes,4.4,,,
H02816,Shoes,385,,H02816,Shoes,4.5,,,
Q46276,Shoes,17,,Q46276,Shoes,4.7,,,
Q46278,Shoes,17,,Q46278,Shoes,4.7,,,
GZ8191,Shoes,377,,GZ8191,Shoes,4.6,,,
H00496,Shoes,28,,H00496,Shoes,4.6,,,
GZ8206,Shoes,135,,GZ8206,Shoes,4.6,,,
G55776,Shoes,78,,G55776,Shoes,4.8,,,
G58844,Shoes,24,,G58844,Shoes,4.7,,,
H04643,Shoes,44,,H04643,Shoes,4.4,,,
H01461,Shoes,18,,H01461,Shoes,4.7,,,
GZ8183,Shoes,377,,GZ8183,Shoes,4.6,,,
H00460,Shoes,72,,H00460,Shoes,4.5,,,
GY5469,Shoes,44,,GY5469,Shoes,4.4,,,
Q46277,Shoes,17,,Q46277,Shoes,4.7,,,
H00462,Shoes,72,,H00462,Shoes,4.5,,,
H02366,Shoes,14,,H02366,Shoes,4.9,,,
S42627,Shoes,8,,S42627,Shoes,4.6,,,
EW9589,Accessories,55,,EW9589,Accessories,4.7,,,
H00466,Shoes,105,,H00466,Shoes,4.7,,,
GT0133,Clothing,3,,GT0133,Clothing,4.3,,,
GZ7408,Shoes,29,,GZ7408,Shoes,4.8,,,
EX6977,Accessories,33,,EX6977,Accessories,4.9,,,
GS3915,Clothing,4,,GS3915,Clothing,5,,,
EW9771,Accessories,15,,EW9771,Accessories,4.7,,,
H22737,Accessories,1,,H22737,Accessories,5,,,
GV5302,Clothing,89,,GV5302,Clothing,4.8,,,
EW9877,Clothing,18,,EW9877,Clothing,4.7,,,
H13274,Accessories,206,,H13274,Accessories,4.8,,,
H07803,Clothing,29,,H07803,Clothing,4.5,,,
H55477,Clothing,2,,H55477,Clothing,5,,,
Q47217,Shoes,41,,Q47217,Shoes,4.7,,,
GH7271,Accessories,38,,GH7271,Accessories,4.8,,,
GK8732,Clothing,3,,GK8732,Clothing,5,,,
EX3625,Clothing,1,,EX3625,Clothing,5,,,
GU1858,Clothing,15,,GU1858,Clothing,4.7,,,
GP6780,Clothing,112,,GP6780,Clothing,4.6,,,
GU1862,Clothing,1,,GU1862,Clothing,5,,,
FX4190,Shoes,171,,FX4190,Shoes,4.9,,,
FW2735,Shoes,15,,FW2735,Shoes,4.3,,,
HB4778,Clothing,18,,HB4778,Clothing,4.9,,,
GR9653,Clothing,3,,GR9653,Clothing,4.3,,,
HC2917,Clothing,11,,HC2917,Clothing,4,,,
GY4919,Shoes,191,,GY4919,Shoes,4.5,,,
GM1410,Clothing,39,,GM1410,Clothing,4.8,,,
H20304,Clothing,1,,H20304,Clothing,5,,,
H45131,Clothing,9,,H45131,Clothing,4.8,,,
GS4165,Clothing,13,,GS4165,Clothing,4.8,,,
H29894,Clothing,76,,H29894,Clothing,4.6,,,
EW9777,Accessories,120,,EW9777,Accessories,4.8,,,
HG6686,Clothing,1,,HG6686,Clothing,5,,,
HG6681,Clothing,1,,HG6681,Clothing,5,,,
GS3923,Clothing,9,,GS3923,Clothing,4.2,,,
HG6660,Clothing,1,,HG6660,Clothing,5,,,
HG6659,Clothing,1,,HG6659,Clothing,5,,,
HG6650,Clothing,1,,HG6650,Clothing,5,,,
HG6661,Clothing,1,,HG6661,Clothing,5,,,
HG6649,Clothing,1,,HG6649,Clothing,5,,,
GT0188,Clothing,41,,GT0188,Clothing,4.7,,,
GT0184,Clothing,51,,GT0184,Clothing,4.7,,,
GT0185,Clothing,51,,GT0185,Clothing,4.7,,,
GS8612,Clothing,14,,GS8612,Clothing,4.1,,,
HG6680,Clothing,1,,HG6680,Clothing,5,,,
GT0165,Clothing,58,,GT0165,Clothing,4.7,,,
GS8611,Clothing,58,,GS8611,Clothing,4.7,,,
GL4060,Clothing,34,,GL4060,Clothing,4.5,,,
GL4048,Clothing,87,,GL4048,Clothing,4.2,,,
GM2066,Clothing,27,,GM2066,Clothing,4.8,,,
GL4002,Clothing,50,,GL4002,Clothing,4.1,,,
GM2140,Clothing,11,,GM2140,Clothing,4.8,,,
GL4006,Clothing,9,,GL4006,Clothing,4.7,,,
GT0163,Clothing,14,,GT0163,Clothing,4.1,,,
FT9976,Clothing,4,,FT9976,Clothing,4.8,,,
FY5928,Shoes,562,,FY5928,Shoes,4.2,,,
FY5929,Shoes,562,,FY5929,Shoes,4.2,,,
GS6339,Clothing,3,,GS6339,Clothing,4.7,,,
H10198,Clothing,7,,H10198,Clothing,4.6,,,
H07824,Clothing,33,,H07824,Clothing,4.6,,,
FX4197,Shoes,14,,FX4197,Shoes,4.6,,,
HA0130,Clothing,2,,HA0130,Clothing,4,,,
H07819,Clothing,33,,H07819,Clothing,4.6,,,
H22755,Clothing,13,,H22755,Clothing,4.5,,,
H21571,Clothing,2,,H21571,Clothing,4.5,,,
G55557,Shoes,50,,G55557,Shoes,4.5,,,
H31111,Clothing,1,,H31111,Clothing,5,,,
H37830,Clothing,14,,H37830,Clothing,4.6,,,
H37754,Clothing,34,,H37754,Clothing,4.4,,,
GR8267,Clothing,2,,GR8267,Clothing,4,,,
GR8147,Clothing,44,,GR8147,Clothing,4.4,,,
GT0167,Clothing,15,,GT0167,Clothing,4.7,,,
H37827,Clothing,31,,H37827,Clothing,4.4,,,
GS8609,Clothing,12,,GS8609,Clothing,4.8,,,
GS3924,Clothing,9,,GS3924,Clothing,4.2,,,
GS4142,Clothing,10,,GS4142,Clothing,4.4,,,
H24101,Clothing,6,,H24101,Clothing,4.8,,,
EX6840,Accessories,2,,EX6840,Accessories,5,,,
HA7646,Clothing,14,,HA7646,Clothing,4.6,,,
Q47138,Shoes,79,,Q47138,Shoes,4.8,,,
FY6537,Shoes,9,,FY6537,Shoes,5,,,
GZ7457,Shoes,8,,GZ7457,Shoes,4.3,,,
S23977,Shoes,16,,S23977,Shoes,4.8,,,
H37775,Clothing,46,,H37775,Clothing,4.6,,,
GZ8141,Shoes,135,,GZ8141,Shoes,4.7,,,
FY2860,Shoes,151,,FY2860,Shoes,4.3,,,
FY2688,Shoes,13,,FY2688,Shoes,4.5,,,
GZ7874,Shoes,52,,GZ7874,Shoes,4.5,,,
GZ0160,Shoes,16,,GZ0160,Shoes,4.6,,,
H04193,Shoes,42,,H04193,Shoes,4.5,,,
H04267,Shoes,85,,H04267,Shoes,4.7,,,
H02148,Shoes,6,,H02148,Shoes,5,,,
H05280,Shoes,16,,H05280,Shoes,4.6,,,
H02368,Shoes,27,,H02368,Shoes,4.9,,,
FX5981,Shoes,4,,FX5981,Shoes,5,,,
S42626,Shoes,16,,S42626,Shoes,4.4,,,
GZ7456,Shoes,8,,GZ7456,Shoes,4.3,,,
H04324,Shoes,135,,H04324,Shoes,4.7,,,
GZ8689,Shoes,21,,GZ8689,Shoes,4.6,,,
FY4884,Shoes,50,,FY4884,Shoes,4.5,,,
Q47127,Shoes,6,,Q47127,Shoes,5,,,
GZ7875,Shoes,52,,GZ7875,Shoes,4.5,,,
FI5157,Clothing,63,,FI5157,Clothing,4.5,,,
S23683,Shoes,48,,S23683,Shoes,4.3,,,
GI7309,Clothing,4,,GI7309,Clothing,5,,,
HC9929,Clothing,1,,HC9929,Clothing,1,,,
FX4186,Shoes,91,,FX4186,Shoes,4.8,,,
H20306,Clothing,34,,H20306,Clothing,4.8,,,
GT3882,Clothing,7,,GT3882,Clothing,4.4,,,
S29055,Shoes,16,,S29055,Shoes,4.8,,,
GU9689,Clothing,4,,GU9689,Clothing,4,,,
GZ0159,Shoes,191,,GZ0159,Shoes,4.5,,,
GV2052,Clothing,9,,GV2052,Clothing,4.1,,,
S29238,Shoes,5,,S29238,Shoes,4.8,,,
S24022,Shoes,3,,S24022,Shoes,5,,,
G58478,Shoes,69,,G58478,Shoes,3.8,,,
H00458,Shoes,84,,H00458,Shoes,4.6,,,
H05315,Shoes,21,,H05315,Shoes,4.6,,,
H00455,Shoes,84,,H00455,Shoes,4.6,,,
H02321,Shoes,50,,H02321,Shoes,4.5,,,
H00457,Shoes,84,,H00457,Shoes,4.6,,,
H03958,Shoes,87,,H03958,Shoes,5,,,
H00456,Shoes,84,,H00456,Shoes,4.6,,,
H02723,Shoes,3,,H02723,Shoes,4,,,
H00459,Shoes,84,,H00459,Shoes,4.6,,,
H03083,Shoes,6,,H03083,Shoes,4.2,,,
H05653,Shoes,49,,H05653,Shoes,4.3,,,
GX8131,Shoes,57,,GX8131,Shoes,4.6,,,
GW7963,Shoes,57,,GW7963,Shoes,4.6,,,
H51143,Clothing,30,,H51143,Clothing,4.8,,,
H51144,Clothing,30,,H51144,Clothing,4.8,,,
H59062,Clothing,10,,H59062,Clothing,4.6,,,
EX4439,Clothing,233,,EX4439,Clothing,4.8,,,
HB1552,Clothing,26,,HB1552,Clothing,4.8,,,
H00517,Shoes,146,,H00517,Shoes,4.6,,,
H00516,Shoes,146,,H00516,Shoes,4.6,,,
H34546,Clothing,39,,H34546,Clothing,4.8,,,
GU0305,Clothing,70,,GU0305,Clothing,4.6,,,
GT9781,Clothing,30,,GT9781,Clothing,4.8,,,
S23678,Shoes,48,,S23678,Shoes,4.3,,,
H42544,Accessories,7,,H42544,Accessories,4.9,,,
FW6948,Shoes,160,,FW6948,Shoes,4.4,,,
H28793,Clothing,157,,H28793,Clothing,4.8,,,
H14684,Clothing,8,,H14684,Clothing,4.5,,,
FW6945,Shoes,160,,FW6945,Shoes,4.4,,,
GS4150,Clothing,8,,GS4150,Clothing,4.5,,,
GT9515,Clothing,9,,GT9515,Clothing,4.9,,,
H20478,Clothing,52,,H20478,Clothing,4.6,,,
H04513,Shoes,562,,H04513,Shoes,4.2,,,
H04510,Shoes,562,,H04510,Shoes,4.2,,,
FW7518,Shoes,51,,FW7518,Shoes,4.7,,,
GZ7885,Shoes,562,,GZ7885,Shoes,4.2,,,
H04509,Shoes,562,,H04509,Shoes,4.2,,,
H04511,Shoes,562,,H04511,Shoes,4.2,,,
GS6340,Clothing,48,,GS6340,Clothing,4.6,,,
H28787,Clothing,157,,H28787,Clothing,4.8,,,
GQ1082,Clothing,70,,GQ1082,Clothing,4.6,,,
GP8632,Clothing,38,,GP8632,Clothing,4.7,,,
H04508,Shoes,562,,H04508,Shoes,4.2,,,
GZ7884,Shoes,562,,GZ7884,Shoes,4.2,,,
H33690,Clothing,133,,H33690,Clothing,4.7,,,
H34614,Clothing,249,,H34614,Clothing,4.7,,,
H34691,Clothing,39,,H34691,Clothing,4.8,,,
GP2389,Clothing,8,,GP2389,Clothing,5,,,
GL5681,Clothing,72,,GL5681,Clothing,4.9,,,
GM4601,Clothing,4,,GM4601,Clothing,4.8,,,
H22840,Clothing,44,,H22840,Clothing,4.5,,,
H39842,Clothing,60,,H39842,Clothing,4.8,,,
GM4772,Clothing,99,,GM4772,Clothing,4.7,,,
G58804,Shoes,52,,G58804,Shoes,4.8,,,
GR0678,Clothing,5,,GR0678,Clothing,4.4,,,
GI7303,Clothing,32,,GI7303,Clothing,4.8,,,
GR4080,Clothing,58,,GR4080,Clothing,4.8,,,
GT1694,Clothing,4,,GT1694,Clothing,5,,,
H29178,Clothing,45,,H29178,Clothing,4.6,,,
GT9739,Clothing,3,,GT9739,Clothing,4.7,,,
GT1692,Clothing,4,,GT1692,Clothing,5,,,
GT9780,Clothing,60,,GT9780,Clothing,4.8,,,
GZ7927,Shoes,231,,GZ7927,Shoes,4.5,,,
HB1419,Clothing,54,,HB1419,Clothing,4.7,,,
FZ2489,Shoes,13,,FZ2489,Shoes,4.3,,,
GR4259,Clothing,3,,GR4259,Clothing,4.3,,,
H21531,Clothing,58,,H21531,Clothing,4.8,,,
FY4084,Shoes,13,,FY4084,Shoes,4.3,,,
H21533,Clothing,58,,H21533,Clothing,4.8,,,
GT7836,Clothing,20,,GT7836,Clothing,4.5,,,
HB1418,Clothing,54,,HB1418,Clothing,4.7,,,
EX6696,Accessories,126,,EX6696,Accessories,4.8,,,
H45374,Clothing,73,,H45374,Clothing,4.6,,,
H56354,Clothing,73,,H56354,Clothing,4.6,,,
GT4792,Accessories,25,,GT4792,Accessories,4.7,,,
EX6588,Accessories,6,,EX6588,Accessories,4.8,,,
EX4446,Clothing,9,,EX4446,Clothing,4.4,,,
EY0208,Clothing,1,,EY0208,Clothing,5,,,
EX6537,Accessories,51,,EX6537,Accessories,5,,,
EY3692,Accessories,4,,EY3692,Accessories,4.8,,,
EY0004,Clothing,1,,EY0004,Clothing,4,,,
EX6535,Accessories,51,,EX6535,Accessories,5,,,
EX6529,Accessories,51,,EX6529,Accessories,5,,,
EW3431,Accessories,3,,EW3431,Accessories,4.7,,,
EX6528,Accessories,51,,EX6528,Accessories,5,,,
EX6531,Accessories,51,,EX6531,Accessories,5,,,
GZ5350,Shoes,762,,GZ5350,Shoes,4.5,,,
EX6853,Accessories,34,,EX6853,Accessories,4.7,,,
H25047,Clothing,222,,H25047,Clothing,4.8,,,
H25046,Clothing,222,,H25046,Clothing,4.8,,,
GN7927,Clothing,102,,GN7927,Clothing,4.7,,,
H20107,Clothing,667,,H20107,Clothing,4.8,,,
GN7926,Clothing,102,,GN7926,Clothing,4.7,,,
EW4470,Accessories,41,,EW4470,Accessories,4.9,,,
H25050,Clothing,222,,H25050,Clothing,4.8,,,
GV7370,Shoes,762,,GV7370,Shoes,4.5,,,
EX6776,Accessories,2,,EX6776,Accessories,5,,,
EX4818,Accessories,2,,EX4818,Accessories,5,,,
GV7374,Shoes,762,,GV7374,Shoes,4.5,,,
GQ1346,Clothing,222,,GQ1346,Clothing,4.8,,,
EX7146,Accessories,5,,EX7146,Accessories,5,,,
H25045,Clothing,222,,H25045,Clothing,4.8,,,
EY0066,Clothing,4,,EY0066,Clothing,4.8,,,
EX7508,Accessories,2,,EX7508,Accessories,5,,,
EX7025,Accessories,76,,EX7025,Accessories,4.9,,,
FW6968,Shoes,281,,FW6968,Shoes,4.4,,,
H07813,Clothing,29,,H07813,Clothing,4.5,,,
EX4821,Accessories,2,,EX4821,Accessories,5,,,
GS3935,Clothing,15,,GS3935,Clothing,4.6,,,
H14696,Clothing,25,,H14696,Clothing,4.5,,,
H20456,Clothing,17,,H20456,Clothing,4.9,,,
H48154,Clothing,1,,H48154,Clothing,5,,,
H33694,Clothing,28,,H33694,Clothing,4.7,,,
H11395,Clothing,15,,H11395,Clothing,4.7,,,
H32461,Accessories,9,,H32461,Accessories,5,,,
HA5695,Clothing,5,,HA5695,Clothing,4.8,,,
H14695,Clothing,25,,H14695,Clothing,4.5,,,
H20483,Clothing,41,,H20483,Clothing,4.7,,,
H06683,Clothing,12,,H06683,Clothing,4.9,,,
H28794,Clothing,41,,H28794,Clothing,4.9,,,
GS4155,Clothing,25,,GS4155,Clothing,4.5,,,
H20311,Clothing,25,,H20311,Clothing,4.9,,,
H20312,Clothing,64,,H20312,Clothing,4.6,,,
GV5159,Clothing,7,,GV5159,Clothing,4.9,,,
H33677,Clothing,26,,H33677,Clothing,4.9,,,
H13914,Accessories,2,,H13914,Accessories,4.5,,,
H32458,Accessories,7,,H32458,Accessories,4.7,,,
GS4147,Clothing,4,,GS4147,Clothing,4.5,,,
GU6302,Clothing,2,,GU6302,Clothing,5,,,
GN4406,Clothing,13,,GN4406,Clothing,4.8,,,
GH8146,Clothing,98,,GH8146,Clothing,4.7,,,
H32236,Clothing,13,,H32236,Clothing,4.8,,,
H11276,Clothing,13,,H11276,Clothing,4.8,,,
H17923,Clothing,5,,H17923,Clothing,5,,,
H35501,Clothing,23,,H35501,Clothing,4.8,,,
H22628,Clothing,8,,H22628,Clothing,5,,,
S42718,Shoes,151,,S42718,Shoes,4.3,,,
FX1983,Shoes,43,,FX1983,Shoes,4.8,,,
H32424,Accessories,9,,H32424,Accessories,5,,,
FX2247,Shoes,177,,FX2247,Shoes,4.7,,,
GV9935,Shoes,177,,GV9935,Shoes,4.7,,,
FW6935,Shoes,68,,FW6935,Shoes,4.7,,,
S42721,Shoes,151,,S42721,Shoes,4.3,,,
GW4844,Shoes,454,,GW4844,Shoes,4.4,,,
FX2858,Shoes,151,,FX2858,Shoes,4.3,,,
H00667,Shoes,135,,H00667,Shoes,4.7,,,
GZ7705,Shoes,190,,GZ7705,Shoes,4.7,,,
GZ7706,Shoes,190,,GZ7706,Shoes,4.7,,,
FY6503,Shoes,135,,FY6503,Shoes,4.7,,,
